X,Y
-451874.2506486163,-3554392.6806471166
2226363.472397994,-3466026.398716191
-1029673.2246860126,-3283653.4338800265
13897643.536120337,-3274252.765589502
13703459.473184694,-3253571.29535035
-11913050.50025035,-3189646.7509747865
-11265964.97917998,-3188706.684145734
109566.95318748066,-3184006.350000472
12630344.816579396,-3145463.610009324
13553418.49444513,-3097520.201727652
12811969.458172273,-3091879.8007533373
-3105777.944548118,-3003513.5188224115
13277091.938688664,-2952749.910053582
14497760.920958864,-2823020.6876443517
-10867231.306701947,-2807039.5515504605
14811732.946845233,-2594584.4481846187
278044.12511984684,-2582363.5794069376
-11217684.6734374,-2507158.233082746
14818549.530717187,-2472375.760407807
-11216774.98044854,-2462975.0921172826
-10802578.150934916,-2441353.5550490776
-11211798.679904599,-2419732.0179808727
14801841.195768299,-2390589.946280248
14034075.211539956,-2378369.0775025673
15108445.020045998,-2252400.1224095454
15089400.961187806,-2213857.3824183973
15064231.791760262,-2153693.1053590444
15421350.089883452,-2152753.0385299916
15746249.796058893,-1909275.7298054204
15417162.521645403,-1872613.1234723772
-9524420.477027036,-1777666.3737380847
-11071277.961547716,-1676139.1562004255
13666675.098076183,-1673318.9557132688
13394511.09966354,-1634776.2157221201
14980675.646873029,-1568031.4708594
13221840.513309814,-1551110.267936457
15117656.241550323,-1483425.4562446838
-11358004.559341718,-1448642.9835697452
16037065.550071465,-1219266.6772809604
-12557389.081471005,-1201405.4075289646
12443889.28760101,-1131840.462179087
-11469164.155963017,-1096117.9226750962
16334188.745333211,-909044.623693669
-12826208.340324517,-831019.07688232
-3261984.4172993465,-813157.8071303243
16429458.019857405,-756753.7973871805
-3496934.264662114,-685308.7183791981
16438529.228488276,-669327.5822853075
-3715164.9757629596,-657106.7135076262
-3979044.9099862934,-650526.2457042594
-10394395.141013796,-641125.5774137354
-4055604.830534859,-621384.1740036351
-4052493.437300237,-583781.5008415391
-11868557.384849051,-578141.0998672248
-11980473.259060334,-554639.4291409149
16414350.06968912,-545238.7608503908
-2872378.341656984,-483194.35013293254
-12654428.89808974,-407048.9369796884
-12657449.391447332,-401408.536005374
-10367443.55260564,-380727.0657662212
16111424.278349195,-351584.9940655969
14093999.403810488,-291420.7170062434
-4252682.673975865,-274499.5140833002
15575684.77109112,-238776.97457930914
12228491.683986675,-203994.5019043704
-11273838.1268309,-183313.03166521763
15182960.402559338,-137249.7570416501
-10639138.317901533,-120328.55411870695
12359978.487979779,-21621.537068205154
-11038229.82025553,30082.138529676737
-11731936.113966625,48883.4751107247
-4563984.885741228,49823.5419397771
-4321319.895763404,105287.48485386859
-4338185.579154374,121268.62094775934
-9837475.53908092,191773.6331266892
-4540080.423946678,295180.98432245303
12543427.391356008,323382.98919402494
-4823453.519156475,336543.9248007585
-13012025.07300267,363805.86284327804
-13182457.227030734,380727.0657662212
12769001.776161805,433370.80819315556
-13432529.618210323,449351.9442870463
-14467046.396725057,502935.753543033
-14106318.857809743,522677.1569531333
-13446962.840856269,578141.0998672248
12623002.937146071,587541.7681577489
-15097734.435158055,592242.1023030108
-13554886.697125673,596002.3696192204
-13763661.25926329,606343.1047387968
-14233577.044132225,628904.7086360544
-2289280.2835790683,664627.2481400454
12847413.142379552,670267.6491143599
-13711187.122722311,694709.3866697222
-15310578.002662696,797176.6710364335
-6850866.303684175,799996.8715235908
-6884193.940289425,834779.3441985296
12235249.957337234,846060.1461471581
-10431915.252434775,847940.2798052629
-13362865.673970614,851700.5471214728
-15340583.620011259,899643.9554031449
11801185.957197731,933486.3612490313
-6910891.458733807,933486.3612490313
-6736572.797040765,933486.3612490313
-4144027.9227675614,942887.0295395552
13183338.875092529,946647.2968557648
13305346.120514095,955107.8983172366
